Time,Error
1.928710626,1.8567269169999514
1.95017957,1.8483621522784577
2.000206589,1.8272110077976758
2.051247414,1.8061572885770691
2.100196888,1.7748534868409152
2.15023548,1.7544485610455185
2.203320893,1.7244578535173685
2.250231187,1.7050466881965243
2.300260116,1.685615112162564
2.350260304,1.6560344285211983
2.400233985,1.6361555749999983
2.450213659,1.6163161864739095
2.501241889,1.5866512159873645
2.550207454,1.5668587889547616
2.600454297,1.5372019340196217
2.650888471,1.5173899057346505
2.700283808,1.507476586957008
2.985706643,1.5079350820899515
3.000149994,1.3496905068793519
3.050236803,1.329941971115294
3.100280933,1.3101322108209421
3.150162446,1.280553818757129
3.200241076,1.260867824244566
3.250160662,1.2314052970104667
3.300200715,1.2117510259170061
3.350248257,1.1921423961671718
3.400151304,1.1627918430916437
3.450173096,1.1432231508813224
3.500234535,1.1237028849174047
3.55019807,1.0944685490823225
3.600215888,1.0750053331241594
3.650453315,1.0458330310300532
3.700231196,1.0264359204474498
3.750230427,1.0071051043546617
3.800194853,0.9781159518478479
3.850317356,0.9588673271327031
3.900231632,0.9396847868364699
3.950186769,0.9205771722988818
4.000165965,0.8918663757437616
4.050181522,0.8728544750433745
4.100155874,0.8442547294418843
4.150193249,0.8253540960754479
4.200230738,0.8065455561190613
4.250149716,0.7782279754680047
4.30016632,0.7595587183576943
4.350229364,0.7409866953555837
4.400216048,0.7129694927863253
4.450242301,0.6945625604070502
4.500432371,0.6667421646868408
4.550258638,0.6484947164799272
4.600276947,0.6303707535142696
4.650152114,0.6029487931292962
4.700275908,0.5850348511779482
4.75027251,0.5672513296162404
4.80017056,0.540275390809197
4.850223521,0.5227327505239409
4.900239937,0.505323023698532
4.950196507,0.47885102198236096
5.000232157,0.4617275939326966
5.050210511,0.43560407667166584
5.100180856,0.41874211304559356
5.150240462,0.4020558620667494
5.201448423,0.37663575860700926
5.250314636,0.3602648886212481
5.300238101,0.34411389712935414
5.350714069,0.3194481089885445
5.400236222,0.30366518590904784
5.450179532,0.27957470610595136
5.500228634,0.26419286158336175
5.550229511,0.24905615756269894
5.60016819,0.22620803219827498
5.650339397,0.2127129324726023
5.700224747,0.2000261165104857
5.750167161,0.18144104459781693
5.800322054,0.17055635222337456
5.850274445,0.16038251192040145
5.900162789,0.1454133838193767
5.950295566,0.136693029573911
6.000189527,0.12395546830654172
6.050271021,0.11654358573452396
6.100280278,0.10959328114684706
6.150190318,0.09927233306679248
6.200202336,0.09335500007441065
6.250163287,0.08452713352976551
6.300233094,0.07946672073077587
6.350146921,0.0719136360958552
6.400323572,0.06757093456027355
6.450264226,0.06361188504180537
6.50016959,0.05738098086274652
6.550258918,0.05399995430761616
6.600149283,0.04862477663625627
6.650184182,0.04572062929845962
6.700234083,0.04320076507835943
6.750219042,0.0386003177470887
6.80021056,0.03647606173300844
6.850233866,0.03475191681450013
6.900165463,0.030651348820276227
6.95022223,0.02924753291999694
7.000178231,0.02558116861808166
7.050175775,0.024456697091888305
7.100254198,0.021139412378145508
7.150186014,0.02028462306846515
7.200220282,0.019960377108448557
7.252206602,0.016786467326397058
7.300200681,0.01649723862056907
7.350229987,0.016970471335682406
7.400186691,0.01336432166142174
7.450323585,0.014149614332008351
7.500157376,0.01067784948453224
7.5502503,0.011770776206122397
7.600266529,0.013340342597603255
7.650273539,0.009571791478078899
7.700233449,0.011337493797796295
7.750329645,0.013414699416193424
7.800191213,0.009399938060577047
7.850226903,0.011569611447795688
7.901334283,0.008013623553178287
7.950193116,0.010058211574723185
8.000456063,0.006339274563685286
8.052236266,0.009468405596885356
8.100231998,0.011398750985115893
8.150162674,0.007499254474720375
8.200274671,0.010129243131580519
8.250204642,0.012629184672134886
8.300202135,0.008721581886276836
8.350227094,0.01123092949945273
8.400158827,0.007488588906619486
8.450341259,0.010141620568748339
8.500231374,0.006584251641140992
8.550217964,0.009203871763732868
8.600225079,0.01175347753014308
8.650156499,0.00810989416499478
8.70034024,0.010672856624592086
8.750105811,0.007181066083502926
8.800253838,0.009733696707442707
8.850218341,0.012183072729190213
8.900223119,0.008610263713742888
8.950173813,0.01100871018279673
9.00022569,0.013417611892816247
9.05017658,0.009717694379149407
9.100223709,0.012052493675408124
9.150155895,0.008564937491976624
9.200203497,0.01094792312682482
9.250227783,0.013328188711685453
9.300316286,0.009729380115278677
9.350236885,0.011998094407305575
9.400165487,0.00858618480324618
9.450253097,0.010927761931157373
9.500270967,0.007759897460698706
9.550294753,0.010052258961003254
9.600224632,0.012376266587735841
9.650236795,0.008978738828211099
9.700232413,0.011240399176289932
9.750578303,0.008135201197004276
9.800184315,0.010299009381410493
9.850232179,0.012633666548857721
9.900229249,0.009221000116734875
9.950285702,0.011469132568862854
10.000183518,0.008260099649635042
10.050244546,0.010514334198853312
10.100229144,0.012815142119022842
10.150185845,0.009390289138230291
10.200174671,0.01161603399436266
10.250162148,0.008415340890731876
10.300742193,0.010772319146508603
10.350618679,0.013035822916454717
10.400242413,0.00949626458277288
10.450296104,0.011694787027567977
10.500210901,0.008477243422882683
10.55021477,0.010670685082782117
10.600226571,0.012987200260411419
10.650257221,0.009567260184965273
10.700225378,0.011750671197134138
10.750369859,0.008593168002324425
10.800258064,0.010780410297332437
10.850155662,0.007764489447926005
10.900246379,0.009939201276636877
10.950235004,0.012214552380320806
11.000156173,0.00891774791542409
11.05023081,0.011120977350759271
11.100636699,0.00814909784656109
11.153388756,0.011043512864236955
11.200224845,0.012459795051484533
11.250160997,0.009094172402688703
11.302008116,0.011785089839693915
11.350242184,0.01356764425162551
11.400198031,0.010027671149778268
11.450232192,0.012229567715330923
11.500263293,0.008938976658209011
11.5502663,0.011162466573590706
11.60022899,0.013421471633030887
11.650215426,0.009918734212879855
11.700166651,0.012111276900987667
11.750245557,0.014392211399584222
11.800172733,0.010725233250023714
11.850243627,0.012921400747737921
11.900220059,0.009507178228729157
11.950178993,0.01171659921382893
12.000146573,0.008516829180233635
12.050155754,0.010724999668308206
12.1002554,0.013007828905277744
12.150187268,0.009559809312183505
12.200231621,0.011793295773261932
12.250193697,0.014033677344386772
12.300249835,0.01046409771930667
12.350229989,0.01263906544709573
12.400152789,0.009253321202418128
12.450281075,0.011506659526262291
12.500291617,0.013780627059814508
12.550183364,0.010210134422760685
12.600221061,0.012413468898371898
12.650229052,0.014673713678906871
12.700218655,0.010987595900917234
12.750300779,0.013205750462179226
12.800282708,0.015417261725095485
12.850214257,0.011600805228263551
12.9002357,0.013790260438350405
12.950231706,0.015990671703706355
13.000178591,0.01210685914218538
13.050224065,0.014272299170006086
13.100155062,0.010634112156623746
13.150225308,0.01286679787428582
13.200158473,0.009460956712583202
13.250309152,0.011726708600067085
13.300252201,0.013972213524568868
13.350288625,0.010434130756347056
13.400316649,0.012628738793263287
13.450236065,0.014854945544399905
13.500255064,0.011173428906851607
13.550210432,0.01334670626532031
13.600230327,0.015574148237203034
13.650165641,0.011779435946301126
13.700248385,0.013961228422230305
13.750245743,0.010432885159580373
13.800279495,0.01265429922785094
13.850205383,0.009337228466432647
13.90022936,0.011538957386741195
13.950282182,0.013810222130784122
14.000271228,0.01033695777745419
14.050332124,0.012521655382315184
14.100266889,0.009263143341308
14.150271783,0.011463830431252823
14.200231821,0.013711183740119447
14.250196394,0.0102759217626914
14.30023273,0.012448123192755794
14.350193393,0.009264507212009344
14.400220593,0.011427223828313127
14.450152029,0.008480947887152528
14.50044223,0.010666394954951678
14.55052734,0.01291973119980984
14.600157974,0.009604597759300195
14.650212502,0.011761575521014693
14.700307593,0.014016754828113072
14.750172636,0.010574405834093421
14.800243814,0.012730007534840129
14.850446026,0.009608453451731804
14.900326805,0.011734836744248807
14.950248134,0.013921631189918801
15.000155178,0.01052432282366937
15.050222843,0.012700939204051818
15.100217185,0.014890262425774708
15.150168593,0.011361576269257422
15.200169153,0.013485004531803738
15.250148831,0.010220542495366887
15.30023267,0.012391462581815964
15.350244752,0.014598951347149343
15.400200826,0.011164525487801075
15.450231413,0.013292638507375927
15.500176927,0.010125019176316048
15.550204981,0.012260520988738465
15.600234281,0.00936019150093276
15.650172965,0.011422123016229148
15.700208899,0.013605787036134138
15.750169806,0.010440159787083837
15.800200406,0.012538261665729997
15.850281365,0.014739011203359458
15.90019026,0.011376514358510191
15.950290603,0.013474423723054784
16.000163565,0.010369797070568326
16.051222369,0.012709512651364552
16.100223557,0.014640087976092698
16.150176315,0.011361994295281539
16.200534024,0.013507760341322972
16.250173553,0.010427063848785861
16.300276701,0.012495061807959206
16.351814503,0.010084823456322299
16.40028976,0.011723621904167241
16.450223843,0.013817863870943357
16.500638084,0.010881216320760934
16.550247483,0.012780354687278877
16.600146836,0.009968248263121994
16.653272894,0.012660729494741936
16.700237817,0.014009132474890534
16.750157747,0.010883404808977776
16.800252416,0.01289945950907914
16.850355332,0.01503304894425432
16.900238506,0.011698673343988827
16.950313894,0.01371756219606075
17.000189303,0.010635276907863712
17.050241679,0.012653793723059744
17.100229399,0.014761662722403599
17.150091793,0.011429875887846087
17.20019416,0.013508959179220962
17.250196121,0.015608963006568012
17.300179241,0.012115151809761224
17.350240691,0.014185496760515209
17.400145588,0.010909551514135321
17.450176982,0.01296565781513661
17.500260103,0.015097798191090549
17.550232032,0.011641245232310296
17.600216464,0.013704117748433881
17.650173576,0.01580556952631663
17.700188099,0.012219852650461977
17.750211853,0.014274813599165248
17.800157188,0.010911685619331738
17.850288891,0.013029566051605195
17.90030746,0.015188618746510651
17.950265011,0.011649475300180406
18.000237046,0.013730634938328426
18.052805949,0.01657323947417331
18.100231888,0.01217329853295769
18.150222269,0.0142522201351391
18.202229268,0.011327656233884936
18.250268494,0.012925803968391351
18.300268534,0.01507237948674528
18.352418192,0.012047016592353889
18.400208339,0.01357121333286228
18.450223964,0.015711491758140905
18.500306579,0.012045771172178516
18.550226563,0.014129429042211667
18.600153847,0.01065854473092349
18.65022832,0.012808283145268148
18.700219711,0.01498644760466712
18.750148357,0.011370609988400952
18.80022855,0.013498653520561935
18.850144652,0.010112091285430816
18.900213603,0.012272957999709334
18.950248012,0.014493682706988205
19.000155718,0.010932132215900297
19.050216454,0.013072644034447032
19.100182293,0.009767181919973786
19.150263343,0.011930386671285818
19.200287557,0.014161162333251234
19.250288894,0.010662567661445436
19.300222397,0.012800763297322168
19.350236866,0.015005577474234743
19.400181551,0.011338580099422197
19.450220167,0.013505472905926777
19.500183223,0.01006502720350615
19.55024265,0.0122469079057398
19.600231967,0.014452847167568294
19.650231025,0.010858295004171237
19.700256115,0.013018272533043072
19.750144764,0.009618296887557694
19.800203034,0.011820961272896429
19.850190109,0.01405339332621228
19.900163049,0.01050305809586535
19.950224546,0.012687498268852362
20.000151647,0.009360261990475538
20.050179507,0.011557377796386844
20.100141606,0.008458748868792424
20.15015556,0.010614953785444798
20.200159007,0.012858618968475172
20.250154093,0.0095176266292225
20.300234353,0.011694674884693827
20.350941507,0.008731918350632606
20.400167178,0.01070535696133167
20.450242309,0.01298054568231972
20.500181334,0.009574640861096174
20.550608228,0.011875320300233697
20.600212609,0.014008561026341211
20.650133561,0.01043147646387087
20.70020694,0.012606547917578901
20.750157939,0.009273731891845431
20.800254438,0.011475716923606721
20.850155181,0.008362709964494577
20.90016982,0.01053014231850277
20.950374231,0.007697957190860652
21.000183862,0.009766768196096759
21.050166649,0.012001777245919385
21.100169882,0.008793577697702035
21.150261264,0.010981850794135647
21.200228903,0.013234966073261814
21.250243964,0.00980136090745591
21.300240527,0.011977954652999088
21.350149877,0.00873377631146554
21.400183164,0.01093349249888217
21.45022848,0.013212571629196007
21.500165309,0.00975398251113545
21.55022569,0.011962727731597763
21.600246482,0.014225020238226981
21.650153302,0.010592245770208319
21.700216889,0.012785328492453757
21.750192875,0.009402357901099556
21.800232345,0.011616644610835327
21.850161767,0.008441302929865911
21.900221915,0.010637955623232304
21.950212998,0.01290175885971916
22.000174656,0.009492494324144342
22.051706721,0.012100142359304688
22.101260766,0.014221173294806173
22.150144913,0.010310306778214285
22.200225813,0.012511493169537286
22.250142273,0.009142850480215734
22.300491551,0.01145052381789556
22.350224107,0.01364866680755054
22.400164088,0.01010462094329078
22.450223779,0.012308139545971606
22.500153226,0.008984147546568047
